subject_id,group,location,strategy,fit_type,true_pcommon,recovered_pcommon,true_sigma_v,recovered_sigma_v,sigma_a,true_sigma_p,recovered_sigma_p,mu_p,recovery_error,recovery_bic,recovery_r2,recovered_strategy
SV201,Sighted Control,visible,Averaging,mll,0.987152506000774,0.9884933703282323,0.3237664851942863,0.32239304449079553,0.2,2.044247765594468,1.2130488065371297,1.5,597.263617570589,1219.409384061484,0.9999521294639876,Averaging
SV202,Sighted Control,visible,Matching,mll,0.0050582412727882,0.006568405977047883,0.1169425203856759,0.14615883071448982,0.2,1.2056698092706923,1.9141449727954098,1.5,65.20098453492922,155.28411799016453,0.9999716967578178,Matching
SV203,Sighted Control,visible,Selection,mll,0.9999973577388968,0.9996016506583143,0.4173731356695527,0.42444182360238547,0.2,2.8373048909758687,1.715548369173769,1.5,385.46152609014644,795.805201100599,0.999985350176092,Selection
SV204,Sighted Control,visible,Selection,mll,0.9999974999348372,0.9996650648730253,0.4166179391503927,0.42297369872931795,0.2,2.737722771334405,1.2076519334474993,1.5,384.46442347699895,793.810995874304,0.9999837130894388,Selection
SV205,Sighted Control,visible,Averaging,mll,0.770352171747465,0.8193286903993826,0.2376642004875302,0.24444649385427486,0.2,1.0680651083125865,0.5947643842639982,1.5,318.5482666888582,661.9786822980225,0.9999971065791184,Averaging
SV206,Sighted Control,visible,Averaging,mll,0.2513806008644348,0.22337148656012298,0.8636434271024037,0.880461210303555,0.2,1.2158574179005777,1.2089667198946554,1.5,947.9273624494837,1920.7368738192733,0.9999665106025282,Averaging
SV207,Sighted Control,visible,Averaging,mll,0.229384928426022,0.15931247346665198,0.1810494713304317,0.19616448414590681,0.2,2.315393971248505,2.214284316056976,1.5,108.19011529905819,241.26237951842248,0.9999983422240231,Averaging
SV208,Sighted Control,visible,Matching,mll,0.9932030573606346,0.992392539745614,0.3843005958532,0.3777469578518506,0.2,1.8773039498027528,1.9258788247961087,1.5,522.4573029676811,1069.7967548556683,0.9999958311219798,Matching
SV209,Sighted Control,visible,Averaging,mll,0.9999331801099968,0.9998227911328159,0.3961419192147849,0.39313220159513734,0.2,2.522759731525801,1.5893457920219303,1.5,418.27863159598843,861.439412112283,0.9999929171822449,Averaging
SV210,Sighted Control,visible,Matching,mll,0.9999990567705676,0.999914234159789,0.389211952392708,0.38441133347600165,0.2,2.986217969638042,1.2077587697955567,1.5,413.17833170394476,851.2388123281956,0.9999961713239622,Matching
SV211,Sighted Control,visible,Averaging,mll,0.9419491936572558,0.9320675875135572,0.3070465035387512,0.30861005211123566,0.2,0.6878552788344457,0.7852637700282108,1.5,539.1095203084008,1103.1011895371075,0.999980531844584,Averaging
SV212,Sighted Control,visible,Averaging,mll,0.5793241874606788,0.46274536325959403,0.217549928547206,0.23002999564425572,0.2,0.7654416815462634,1.0232156278138567,1.5,191.41782596589536,407.7178008520968,0.9999959907341411,Averaging
SV213,Sighted Control,visible,Averaging,mll,0.999930755274312,0.9998086277563332,0.3528926955785146,0.3524022585080506,0.2,2.3467954878251733,2.313861362905224,1.5,468.67688146950667,962.2359118593195,0.9999679169327388,Averaging
SV214,Sighted Control,visible,Averaging,mll,0.4506343201571901,0.424126511766542,0.211447326096591,0.2193303055903852,0.2,1.5933135904161628,1.53484747333614,1.5,176.58606280439156,378.0542745290892,0.9999940959998891,Averaging
SV215,Sighted Control,visible,Averaging,mll,0.996712829469814,0.9963023660670508,0.3497819995557505,0.35225717144620117,0.2,0.7031673179094237,1.0187513012220926,1.5,549.1634035175698,1123.2089559554456,0.9999841625613733,Averaging
SV216,Sighted Control,visible,Averaging,mll,0.9801774122449745,0.9663651092843835,0.3096574490005507,0.30979756309888434,0.2,0.7846794461044034,1.6876260376912104,1.5,589.8611039152095,1204.604356750725,0.9999570653061498,Averaging
