subject_id,group,location,strategy,fit_type,true_pcommon,recovered_pcommon,true_sigma_v,recovered_sigma_v,sigma_a,true_sigma_p,recovered_sigma_p,mu_p,recovery_error,recovery_bic,recovery_r2,recovered_strategy
LV020,Low Vision,visible,Matching,mll,0.8990961501749476,0.9000440846976271,0.7350935087458157,0.7388887235584817,0.2,1.5,1.5,1.5,653.0469651208989,1322.6820295220018,0.9999916170645762,Matching
LV021,Low Vision,visible,Averaging,mll,0.1344090932546187,0.057316696620812936,0.1789444974363883,0.18765252360459708,0.2,1.5,1.5,1.5,87.11464563133771,190.81739054287948,0.9999964719595945,Averaging
LV022,Low Vision,visible,Selection,mll,0.462100856550095,0.16893824247546646,0.1193204610924505,0.11910077950014396,0.2,1.5,1.5,1.5,61.94590809355293,140.47991546730992,0.9999820287426731,Selection
LV023,Low Vision,visible,Matching,mll,0.9676794223943558,0.9596532411769401,0.4935972100201218,0.5149816782717636,0.2,1.5,1.5,1.5,576.5347764945677,1169.6576522693395,0.999990800394277,Matching
LV024,Low Vision,visible,Matching,mll,0.56425957396058,0.575883249755318,0.8268216111464336,0.8582359151208176,0.2,1.5,1.5,1.5,883.3132914420078,1783.2146821642195,0.9999923945636026,Matching
LV025,Low Vision,visible,Selection,mll,0.3788177135678369,0.38126509510222206,0.2886762142628717,0.287549903895798,0.2,1.5,1.5,1.5,343.8751289110863,704.3383571023766,0.9999963271165937,Selection
SV103,Sighted Control,visible,Averaging,mll,0.949218825626362,0.9271266442944665,0.3310052682885436,0.34107797588585737,0.2,1.5,1.5,1.5,568.1251165087886,1152.838332297781,0.9999930100542251,Averaging
SV110,Sighted Control,visible,Averaging,mll,0.9937702535244424,0.9912539498053137,0.3402978027233928,0.3427378130810217,0.2,1.5,1.5,1.5,581.3090844646764,1179.2062682095568,0.9999712751974692,Averaging
SV111,Sighted Control,visible,Matching,mll,0.99301588342355,0.98607453111007,0.5154056746348643,0.5355175906462868,0.2,1.5,1.5,1.5,503.008100371464,1022.604300023132,0.9999779757313176,Matching
SV113,Sighted Control,visible,Matching,mll,0.9999259453134154,0.9998016138939894,0.3891302692573387,0.38316000956773355,0.2,1.5,1.5,1.5,423.3551455699013,863.2983904200066,0.9999956383915116,Matching
SV119,Sighted Control,visible,Averaging,mll,0.8858834540178241,0.870307561739938,0.2744063768148245,0.27732283510935346,0.2,1.5,1.5,1.5,459.1895181130785,934.967135506361,0.9999977450497186,Averaging
SV201,Sighted Control,visible,Averaging,mll,0.987152506000774,0.9842797266040239,0.3237664851942863,0.3224980823786766,0.2,1.5,1.5,1.5,596.8180883705357,1210.2242760212755,0.999957478776733,Averaging
SV202,Sighted Control,visible,Matching,mll,0.0050582412727882,0.02526241170311408,0.1169425203856759,0.12636344450092726,0.2,1.5,1.5,1.5,64.64868533034587,145.8854699408958,0.9999719992236706,Matching
SV203,Sighted Control,visible,Selection,mll,0.9999973577388968,0.9996531195103738,0.4173731356695527,0.4244286813966352,0.2,1.5,1.5,1.5,385.4652647486913,787.5186287775866,0.9999850104231356,Selection
SV204,Sighted Control,visible,Selection,mll,0.9999974999348372,0.9996442101361848,0.4166179391503927,0.4244556897358782,0.2,1.5,1.5,1.5,384.4659427293649,785.5199847389338,0.9999822291529502,Selection
SV205,Sighted Control,visible,Averaging,mll,0.770352171747465,0.7643313593852967,0.2376642004875302,0.24795049884262735,0.2,1.5,1.5,1.5,335.48552814175196,687.5591555637079,0.9999876257141055,Averaging
SV206,Sighted Control,visible,Averaging,mll,0.2513806008644348,0.22214771789397972,0.8636434271024037,0.8789739045307019,0.2,1.5,1.5,1.5,947.9322205357421,1912.4525403516882,0.9999645282573109,Averaging
SV207,Sighted Control,visible,Averaging,mll,0.229384928426022,0.1918661120495832,0.1810494713304317,0.19438379588600935,0.2,1.5,1.5,1.5,109.30092093830905,235.18994115682216,0.9999946692130066,Averaging
SV208,Sighted Control,visible,Matching,mll,0.9932030573606346,0.9929709042458407,0.3843005958532,0.3769151516949745,0.2,1.5,1.5,1.5,527.6376016541803,1071.8633025885647,0.9999954310287849,Matching
SV209,Sighted Control,visible,Averaging,mll,0.9999331801099968,0.9998240929358209,0.3961419192147849,0.39253638148187014,0.2,1.5,1.5,1.5,423.2019812418953,862.9920617639946,0.9999974290349019,Averaging
SV210,Sighted Control,visible,Matching,mll,0.9999990567705676,0.9999148976111762,0.389211952392708,0.3848910324004006,0.2,1.5,1.5,1.5,413.1763613490505,842.940821978305,0.9999964968224565,Matching
SV211,Sighted Control,visible,Averaging,mll,0.9419491936572558,0.9397950333223968,0.3070465035387512,0.3062763936430178,0.2,1.5,1.5,1.5,567.0834707123943,1150.7550407049926,0.9999662795086636,Averaging
SV212,Sighted Control,visible,Averaging,mll,0.5793241874606788,0.5811542546550197,0.217549928547206,0.2256826428787838,0.2,1.5,1.5,1.5,218.6080310730551,453.80416142631424,0.9999976404832436,Averaging
SV213,Sighted Control,visible,Averaging,mll,0.999930755274312,0.999835194842378,0.3528926955785146,0.3510223987820718,0.2,1.5,1.5,1.5,471.78956857217054,960.1672364245451,0.9999656510381668,Averaging
SV214,Sighted Control,visible,Averaging,mll,0.4506343201571901,0.4131151491181158,0.211447326096591,0.21847381762063672,0.2,1.5,1.5,1.5,174.92645382477298,366.44100692975,0.999994152001005,Averaging
SV215,Sighted Control,visible,Averaging,mll,0.996712829469814,0.9958020970387808,0.3497819995557505,0.35246084738225575,0.2,1.5,1.5,1.5,549.1641526375145,1114.916404555233,0.9999840390974701,Averaging
SV216,Sighted Control,visible,Averaging,mll,0.9801774122449745,0.9741028585559967,0.3096574490005507,0.31327605245665635,0.2,1.5,1.5,1.5,589.9393498312317,1196.4667989426673,0.9999397766925673,Averaging
