subject_id,group,location,strategy,fit_type,true_pcommon,recovered_pcommon,true_sigma_v,recovered_sigma_v,sigma_a,true_sigma_p,recovered_sigma_p,true_mu_p,recovered_mu_p,mu_p,recovery_error,recovery_bic,recovery_r2,recovered_strategy
SV204,Sighted Control,visible,Selection,mll,0.9286515908871962,0.981257947853707,1.3728098520335972,1.578799080830445,0.2,0.7279707282033192,0.6829015238358869,1.4415106602044294,1.9960381280431032,1.9960381280431032,113.8516604389426,260.8795194382933,0.9999901371467838,Selection
SV205,Sighted Control,visible,Averaging,mll,0.4651804972241478,0.4514062380640572,0.2794097660176992,0.2926330824509331,0.2,0.7012095613840249,0.6958195169437326,1.7534797922421883,1.7905134684090571,1.7905134684090571,339.19490799161576,711.5660145436397,0.999985307770069,Averaging
SV206,Sighted Control,visible,Selection,mll,0.4662685613714907,0.4603977891924319,1.2813748716072997,1.1592704045306808,0.2,1.0304487001573437,0.9711576313148136,1.747088530425215,1.7597479409925003,1.7597479409925003,867.1519150919326,1767.480028744273,0.99995367199296,Selection
SV207,Sighted Control,visible,Matching,mll,0.009064481731951,0.0144554930166871,2.9503741542291246,2.9853782728746463,0.2,0.8187687870209759,0.8231661261539388,0.8890597332796221,0.9149944262596768,0.9149944262596768,282.3414255958279,597.8590497520639,0.9999831785714144,Matching
SV208,Sighted Control,visible,Averaging,mll,0.8996777164697036,0.8859266230129658,0.7114202203846097,0.6711069057639999,0.2,0.7617278628133318,0.7109629623779102,1.640763069342629,1.6505058568922573,1.6505058568922573,393.0384710601209,819.25314068065,0.9999598122625324,Averaging
SV209,Sighted Control,visible,Matching,mll,0.9253209414521052,0.9084329548684962,1.2134804845640723,1.2141325159532206,0.2,0.9628010144294922,0.8488956917604458,1.6293527017494438,1.5064861823731437,1.5064861823731437,398.9753215134797,831.1268415873675,0.9999622126266224,Matching
SV210,Sighted Control,visible,Selection,mll,0.957269804119342,0.9165180914060554,2.224101506963452,1.1300281700164772,0.2,0.3832200377300698,0.5775696039078685,1.3679918556708457,1.8485144079547289,1.8485144079547289,100.75316218575136,234.68252293191085,0.999993068649864,Selection
SV211,Sighted Control,visible,Averaging,mll,0.877627252340306,0.862763132364059,0.3591177428576554,0.3620634096229516,0.2,0.5282958803412732,0.5339703178711606,1.4275677694460949,1.4769046107193176,1.4769046107193176,461.0726242581684,955.3214470767448,0.9999874926897384,Averaging
SV212,Sighted Control,visible,Averaging,mll,0.285948079162049,0.5648281813640944,2.280530447954254,0.2618508387014724,0.2,0.7015785844306237,0.810454083497831,0.8772189815258233,1.4917246385230385,1.4917246385230385,290.0473669012701,613.2709323629484,0.999894856772284,Averaging
SV213,Sighted Control,visible,Matching,mll,0.9348968394702142,0.9342298007834516,1.856332773591937,1.695432845164316,0.2,0.6519487245761352,0.6440661932175467,0.9765768667564269,0.99659783767595,0.99659783767595,286.24603557688744,605.668269714183,0.9999830753177252,Matching
SV214,Sighted Control,visible,Averaging,mll,0.2215997787903851,0.617918918911883,1.8673821138213085,1.89133920268438,0.2,0.588394258636283,0.2902034891343513,0.9606928942804852,0.936160730511133,0.936160730511133,244.5363545324688,522.2489076253456,0.9935181099781852,Averaging
SV215,Sighted Control,visible,Matching,mll,0.9021177478564378,0.9595317827302052,0.7931177078107987,0.4617560607096533,0.2,0.5702792265784152,1.4895697168725617,0.6943653398495503,0.2367686519164627,0.2367686519164627,707.494034779491,1448.16426811939,0.999935062067876,Matching
SV216,Sighted Control,visible,Selection,mll,0.8051863176839831,0.8712521681737919,0.4269027556921902,0.3591287510617352,0.2,0.5001412842044166,0.571135957970568,1.2484611231851868,1.483629138075344,1.483629138075344,520.2189338683321,1073.6140662970722,0.999839346178746,Selection
